pop,upop
2585400.00,78.32
2002119.00,41.86
3811813.00,6.53
49169819.00,16.32
10901.00,57.27
3694339.00,55.94
608889.00,21.04
49555472.00,23.26
10593.00,57.99
1276274.00,43.78
2116832.00,5.07
2114095.00,36.08
11281015.00,50.75
29962877.00,31.34
31139450.00,49.73
9035365.00,36.48
2554066.00,50.13
67487.00,86.78
18919126.00,36.99
125345000.00,57.29
3161719.00,2.82
123354.00,19.22
17033.00,53.31
64209.00,20.48
4677409.00,36.87
3547939.00,25.66
46322.00,31.99
2301023.00,19.71
1841600.00,100.00
4327341.00,36.26
1632114.00,31.63
132787.00,6.92
3002173.00,19.45
19390554.00,47.13
3196258.00,8.70
31609195.00,60.30
10903000.00,17.27
49934.00,30.20
94813.00,22.42
85076.00,27.78
8475765.00,12.81
322995.00,47.34
382575.00,5.88
7661354.00,76.15
5789228.00,53.58
5224579.00,39.35
2401598.00,34.75
11339076.00,5.87
30881332.00,20.11
536798.00,11.07
1662072.00,13.85
71757.00,19.10
903272.00,14.91
4530835.00,39.28
30292969.00,33.68
1829697.00,46.99
5705.00,49.05
6687.00,18.18
7746181.00,5.27
44794325.00,49.80
138220.00,76.92
54000000.00,77.96
191889000.00,71.51
2665387.00,81.11
9917202.00,35.03
72131.00,11.14
9476255.00,66.01
37574000.00,16.06
41300.00,61.95
5522690.00,10.61
3449266.00,22.02
4279561.00,14.09
106192292.00,35.20
4586896.00,32.84
95447065.00,47.88
1136727872.00,24.59
976409639.00,18.75
277856708.00,64.75
706643949.00,58.14
169769768.00,41.55
427592610.00,63.60
135445183.00,20.60
183294395.00,14.12
968445169.00,65.55
201980369.00,60.43
766464800.00,66.82
253195267.00,53.24
205534363.00,49.13
271723894.00,11.01
2357554897.00,23.35
175683056.00,12.98
1056418410.00,21.13
121023167.00,38.90
111779343.00,37.55
2181871841.00,24.18
214031100.00,71.98
842088008.00,64.99
7279828.00,17.07
1010026.00,24.24
12876750.00,23.25
636963781.00,17.63
257414930.00,16.26
257098003.00,16.25
1125453431.00,27.05
3326000066.00,35.53
9935358.00,9.75
1864791.00,31.23
12626953.00,37.64
23518.00,68.33
18551.00,70.45
5765025.00,12.50
59653.00,36.61
22283389.00,76.37
2204650.00,55.62
57360.00,50.70
11388000.00,83.49
7270889.00,65.01
4579759.00,51.16
140049.00,63.34
187348.00,82.50
55835020.00,6.21
235373.00,37.14
8610000.00,38.13
9463667.00,93.14
106121.00,52.48
2632360.00,12.52
50100.00,100.00
252629.00,4.69
4070590.00,38.26
3524596.00,22.82
595741.00,3.84
84130061.00,51.04
102525.00,52.63
8204168.00,45.76
5174869.00,5.20
3079034.00,2.29
231427.00,18.07
6467196.00,10.83
5987671.00,16.88
19678000.00,72.89
8371.00,100.00
1648830.00,23.52
3310921.00,8.41
114992.00,37.39
8612074.00,71.70
715185000.00,18.09
19144220.00,51.02
205412.00,16.98
17369859.00,23.43
1157905.00,35.27
1589625.00,35.79
4219739.00,24.50
4287000.00,34.98
7951928.00,59.34
135266.00,76.63
580971.00,38.19
9779358.00,62.02
4759012.00,77.05
114963.00,56.11
65038.00,38.18
3878952.00,35.04
5250120.00,36.64
30872982.00,39.69
3197865.00,38.91
269427.00,26.50
1589187.00,11.38
1294566.00,61.35
25013551.00,7.59
36363.00,25.55
463884.00,32.58
4563732.00,59.66
50023774.00,67.07
93440.00,48.18
532512.00,23.78
400865.00,14.53
3921600.00,45.53
75963695.00,71.96
7710547.00,26.07
8550333.00,59.97
39200.00,66.05
94579.00,31.27
74827.00,55.55
4728203.00,33.99
3877804.00,12.98
652566.00,14.35
650379.00,29.21
4271133.00,17.58
2352637.00,25.70
3597900.00,86.42
10147935.00,58.02
192286.00,82.72
497920270.00,18.79
100308896.00,15.79
24955116.00,37.07
8375791.00,50.65
2877300.00,48.71
50713.00,56.31
2563000.00,80.94
52112350.00,61.84
1760000.00,37.50
98883000.00,67.87
1128000.00,54.26
11588870.00,47.05
9504702.00,8.61
46455.00,19.63
12547524.00,45.09
28704674.00,32.35
482173.00,79.27
2573300.00,35.85
2381063.00,8.32
2265919.00,56.83
2092354.00,50.94
933251.00,6.37
1252968.00,22.11
1717255.00,33.67
18647.00,19.47
2971450.00,44.45
331500.00,71.96
206910.00,96.18
1592434.00,40.36
5769219.00,12.38
4058680.00,4.91
9569784.00,29.91
102723.00,11.46
5568485.00,12.61
318800.00,89.83
17283.00,42.66
992368.00,10.09
753000.00,37.00
44623041.00,54.93
52238.00,23.54
2825000.00,27.57
23283.00,100.00
1107125.00,42.11
501768.00,22.57
14248426.00,31.86
8302736.00,5.77
24023640.00,20.97
682553.00,20.04
10905006.00,3.74
12294732.00,60.75
90500.00,44.65
2628400.00,78.89
2062633.00,42.71
3921581.00,6.81
50238569.00,16.55
11157.00,58.76
3723168.00,57.57
625007.00,22.34
50848775.00,23.51
10782.00,58.28
1314627.00,44.43
2161103.00,5.47
2170853.00,36.24
11607684.00,51.87
30913931.00,31.60
31444950.00,50.13
8998595.00,36.87
2594000.00,51.52
73543.00,87.05
19031576.00,37.70
126745000.00,58.17
3232937.00,2.88
127068.00,19.30
17440.00,54.40
64797.00,21.83
4843635.00,38.77
3649308.00,26.35
47500.00,33.12
2332999.00,20.38
1886900.00,100.00
4370983.00,37.04
1649160.00,32.50
136847.00,7.25
3069558.00,19.96
19832000.00,47.25
3263767.00,8.69
31954292.00,61.28
11164000.00,17.63
49211.00,30.86
96303.00,22.66
85972.00,28.25
8738703.00,13.37
331799.00,47.11
391659.00,6.49
7733853.00,77.06
5856472.00,54.22
5398333.00,40.01
2489648.00,35.15
11683511.00,6.03
31822798.00,20.22
547035.00,11.35
1708632.00,14.95
74363.00,19.50
912419.00,14.35
4630000.00,39.72
31000167.00,34.23
1890000.00,47.14
5669.00,49.39
